Source Name	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Organism Part]	Term Source 2 REF	Term Source 2 Accession	Protocol REF	Protocol REF	Protocol REF	Assay Name	Experimental Condition [stretch duration]	Experimental Condition [ Nocodazole or DMSO]	Comment [Gene Identifier]	Comment [Gene Symbol]	Comment [Gene Annotation Comments]	Dataset Name	Image File	Comment [Image File Path]	Comment [Image File Comments]	Comment [Image File Type]	Channels	Protocol REF	Processed Data File
ExperimentB_No01_DMSO_23_control__001.lsm	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__001.lsm	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__001.lsm	ImagesOfExperimentA	(XYZC) = 880 x 880 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__002.lsm	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__002.lsm	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__002.lsm	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__003.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__003.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__003.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__004.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__004.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__004.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__005.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__005.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__005.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__006.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__006.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__006.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__007.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__007.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__007.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__008.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__008.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__008.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__009.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__009.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__009.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__010.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__010.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__010.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__011.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__011.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__011.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__012.lsm	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__012.lsm	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__012.lsm	ImagesOfExperimentA	(XYZC) = 1052 x 1052 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__013.lsm	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__013.lsm	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__013.lsm	ImagesOfExperimentA	(XYZC) = 512 x 512 x 4 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__014.lsm	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__014.lsm	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__014.lsm	ImagesOfExperimentA	(XYZC) = 512 x 512 x 3 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__015.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__015.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__015.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
