Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Characteristics [Organism Part],Term Source 2 REF,Term Source 2 Accession,Assay Name,Experimental Condition [stretch duration],Experimental Condition [Nocodazole or DMSO],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Gene Annotation Comments],Folder Name,Image File,Comment [Image File Path],Comment [Image File Comments],Comment [Image File Type],Channels,Protocol REF,Processed Data File
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_001.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_001.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_001.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_002.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_002.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_002.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_003.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_003.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_003.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_004.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_004.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_004.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_005.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_005.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_005.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_006.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_006.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_006.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_007.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_007.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_007.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_008.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_008.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_008.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_009.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_009.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_009.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_010.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_010.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_010.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
